,id,name,position,team,status,now_cost,total_points,selected_by_percent,news,minutes,starts,points_per_game,goals_scored,expected_goals,expected_goals_per_90,expected_goal_involvements,expected_goal_involvements_per_90,goals_conceded,goals_conceded_per_90,expected_goals_conceded,expected_goals_conceded_per_90,assists,expected_assists,expected_assists_per_90,yellow_cards,saves,saves_per_90,clean_sheets,clean_sheets_per_90,bonus,form,threat,creativity,influence,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order
687,711,Andrew Omobamidele,DEF,Nott'ham Forest,a,4.5,11,0.0,,782,8,1.0,0,0.14,0.02,0.16,0.02,15,1.73,11.77,1.35,0,0.02,0.0,2,0,0.0,0,0.0,0,0.0,16.0,25.1,148.6,,,
688,712,Nicolás Domínguez,MID,Nott'ham Forest,i,5.0,67,0.0,Hernia - Expected back 01 Jun,1489,19,2.6,2,1.3,0.08,2.44,0.15,27,1.63,21.2,1.28,2,1.14,0.07,4,0,0.0,6,0.36,6,0.0,187.0,176.2,340.4,,,
689,713,Ibrahim Sangaré,MID,Nott'ham Forest,a,4.9,25,0.0,,1031,13,1.5,0,0.67,0.06,1.07,0.09,16,1.4,14.75,1.29,0,0.4,0.03,6,0,0.0,4,0.35,0,0.5,43.0,112.9,168.8,,,
690,714,Divock Origi,FWD,Nott'ham Forest,a,5.0,25,0.1,,594,6,1.2,0,1.22,0.18,2.04,0.3,6,0.91,9.78,1.48,1,0.82,0.12,1,0,0.0,2,0.3,0,0.0,99.0,107.8,50.4,,,
691,779,Jamie McDonnell,MID,Nott'ham Forest,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
692,780,Detlef Esapa Osong,FWD,Nott'ham Forest,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
693,781,Joe Gardner,FWD,Nott'ham Forest,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
694,801,Giovanni Reyna,MID,Nott'ham Forest,a,4.6,13,0.0,,228,2,1.4,0,0.36,0.14,0.72,0.28,3,1.18,2.09,0.82,1,0.36,0.14,0,0,0.0,0,0.0,0,0.0,55.0,102.7,55.0,,,
695,808,Matz Sels,GKP,Nott'ham Forest,a,4.5,34,0.2,,1440,16,2.1,0,0.0,0.0,0.09,0.01,27,1.69,20.5,1.28,0,0.09,0.01,1,37,2.31,1,0.06,1,1.5,0.0,10.0,293.2,,,
696,809,Rodrigo Duarte Ribeiro,FWD,Nott'ham Forest,a,4.5,4,0.0,,14,0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.13,0.84,0,0.0,0.0,0,0,0.0,0,0.0,0,0.5,6.0,1.3,1.2,,,
697,27,Auston Trusty,DEF,Sheffield Utd,a,3.9,28,1.8,,2568,28,0.9,0,0.38,0.01,1.14,0.04,81,2.84,53.54,1.88,0,0.76,0.03,4,0,0.0,1,0.04,0,1.5,106.0,107.3,517.4,,,
698,33,Cameron Archer,FWD,Sheffield Utd,a,4.2,82,3.4,,1829,21,2.7,4,5.28,0.26,6.67,0.33,50,2.46,41.38,2.04,3,1.39,0.07,2,0,0.0,2,0.1,9,2.0,353.0,309.3,266.0,,,
699,255,Mason Holgate,DEF,Sheffield Utd,a,4.0,1,0.4,,711,9,0.1,0,0.55,0.07,0.75,0.1,27,3.42,19.41,2.46,0,0.2,0.03,3,0,0.0,0,0.0,0,0.5,19.0,22.7,117.8,,,
700,360,James McAtee,MID,Sheffield Utd,a,4.4,77,0.4,,1815,20,2.5,3,2.98,0.15,5.14,0.26,65,3.22,39.34,1.95,4,2.16,0.11,2,0,0.0,2,0.1,0,0.0,333.0,394.4,333.8,3.0,2.0,3.0
701,471,Anel Ahmedhodžić,DEF,Sheffield Utd,a,4.3,31,0.2,,2649,29,1.0,2,3.03,0.1,3.61,0.12,89,3.02,61.13,2.08,0,0.58,0.02,9,0,0.0,1,0.03,4,0.5,228.0,96.7,568.4,,,
702,472,Jordan Amissah,GKP,Sheffield Utd,a,3.9,0,0.3,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
