,id,name,position,team,status,now_cost,total_points,selected_by_percent,news,minutes,starts,points_per_game,goals_scored,expected_goals,expected_goals_per_90,expected_goal_involvements,expected_goal_involvements_per_90,goals_conceded,goals_conceded_per_90,expected_goals_conceded,expected_goals_conceded_per_90,assists,expected_assists,expected_assists_per_90,yellow_cards,saves,saves_per_90,clean_sheets,clean_sheets_per_90,bonus,form,threat,creativity,influence,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order
778,722,Jamie Donley,FWD,Tottenham,a,4.5,2,0.1,,3,0,0.7,0,0.0,0.0,0.0,0.0,1,30.0,0.52,15.6,0,0.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,3.0,,,
779,740,Alfie Dorrington,DEF,Tottenham,a,4.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
780,754,Yago de Santiago Alonso,MID,Tottenham,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
781,776,Timo Werner,FWD,Tottenham,i,6.3,46,0.5,Hamstring injury - Expected back 01 Jun,808,10,3.5,2,3.81,0.42,6.74,0.75,16,1.78,11.06,1.23,4,2.93,0.33,1,0,0.0,0,0.0,5,0.0,305.0,239.0,179.0,,,
782,777,Radu Dragusin,DEF,Tottenham,a,4.2,14,0.1,,424,4,1.6,0,0.14,0.03,0.15,0.03,7,1.49,8.2,1.74,0,0.01,0.0,1,0,0.0,1,0.21,0,2.7,6.0,7.4,95.4,,,
783,860,Mikey Moore,MID,Tottenham,a,4.5,2,0.0,,3,0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.05,1.5,0,0.0,0.0,0,0,0.0,0,0.0,0,0.7,0.0,0.5,1.0,,,
784,862,Tyrese Hall,MID,Tottenham,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
785,364,Kalvin Phillips,MID,West Ham,a,4.7,10,0.0,,394,3,0.8,0,0.22,0.05,0.33,0.08,13,2.97,10.75,2.46,0,0.11,0.03,1,0,0.0,0,0.0,0,0.0,31.0,23.3,35.6,,,
786,522,Nayef Aguerd,DEF,West Ham,d,4.4,36,0.5,Ankle injury - 25% chance of playing,1857,21,1.7,1,1.37,0.07,1.78,0.09,44,2.13,38.79,1.88,0,0.41,0.02,1,0,0.0,2,0.1,0,0.0,145.0,58.1,439.4,,,
787,523,Michail Antonio,FWD,West Ham,a,5.7,78,1.9,,1692,21,3.0,6,5.45,0.29,6.72,0.36,34,1.81,35.84,1.91,2,1.28,0.07,6,0,0.0,5,0.27,8,2.0,395.0,132.2,308.6,,,
788,524,Alphonse Areola,GKP,West Ham,a,4.2,116,22.3,,2700,31,3.7,0,0.0,0.0,0.0,0.0,53,1.77,54.72,1.82,0,0.0,0.0,1,138,4.6,4,0.13,11,3.0,0.0,0.0,1023.2,,,
790,526,Jarrod Bowen,MID,West Ham,a,7.6,182,12.1,,3020,34,5.4,16,11.96,0.36,16.86,0.51,63,1.88,62.39,1.86,6,4.9,0.15,2,0,0.0,5,0.15,14,1.0,1130.0,463.8,890.4,4.0,,2.0
791,527,Maxwel Cornet,MID,West Ham,a,5.2,13,0.1,,109,1,1.9,1,0.4,0.33,0.42,0.35,3,2.48,2.82,2.33,0,0.02,0.02,0,0,0.0,0,0.0,0,0.0,54.0,48.4,44.0,,,
792,528,Vladimír Coufal,DEF,West Ham,a,4.5,85,2.0,,3135,36,2.4,0,0.35,0.01,3.36,0.1,70,2.01,66.02,1.9,7,3.01,0.09,5,0,0.0,4,0.11,9,1.5,92.0,500.0,661.6,,,
794,530,Aaron Cresswell,DEF,West Ham,a,4.2,10,0.3,,431,4,0.9,0,0.0,0.0,0.44,0.09,11,2.3,5.94,1.24,0,0.44,0.09,1,0,0.0,0,0.0,0,1.0,2.0,77.2,58.8,,,3.0
796,532,Emerson Palmieri dos Santos,DEF,West Ham,a,4.3,82,1.9,,3138,35,2.3,1,1.64,0.05,3.71,0.11,67,1.92,68.08,1.95,4,2.07,0.06,10,0,0.0,5,0.14,8,1.0,168.0,400.2,649.0,,,
797,533,Lukasz Fabianski,GKP,West Ham,a,4.2,24,1.3,,721,7,2.4,0,0.0,0.0,0.0,0.0,21,2.62,17.0,2.12,0,0.0,0.0,0,33,4.12,1,0.12,1,0.0,0.0,0.0,245.6,,,
799,535,Danny Ings,FWD,West Ham,a,5.5,36,0.6,,389,3,1.8,1,1.18,0.27,1.44,0.33,10,2.31,10.43,2.41,2,0.26,0.06,1,0,0.0,0,0.0,4,1.0,125.0,64.4,82.4,,,
800,536,Ben Johnson,DEF,West Ham,a,4.4,17,0.1,,538,4,1.2,0,0.25,0.04,0.36,0.06,16,2.68,13.03,2.18,0,0.11,0.02,1,0,0.0,1,0.17,0,0.0,38.0,22.5,84.6,,,
802,538,Divin Mubama,FWD,West Ham,a,4.1,5,4.5,,75,0,1.0,0,0.16,0.19,0.17,0.2,2,2.4,2.89,3.47,0,0.01,0.01,0,0,0.0,0,0.0,0,0.0,5.0,2.4,0.2,,,
803,539,Lucas Tolentino Coelho de Lima,MID,West Ham,a,6.0,100,1.4,,2627,31,3.2,4,5.19,0.18,10.12,0.35,52,1.78,50.96,1.75,6,4.93,0.17,10,0,0.0,4,0.14,7,2.0,343.0,722.3,570.6,3.0,,
805,542,Tomáš Souček,MID,West Ham,a,4.9,116,0.8,,2867,34,3.1,7,6.69,0.21,7.83,0.25,64,2.01,62.38,1.96,2,1.14,0.04,7,0,0.0,5,0.16,9,6.0,488.0,262.5,751.6,,,
807,544,Kurt Zouma,DEF,West Ham,a,4.5,76,1.5,,2838,32,2.3,3,1.9,0.06,1.97,0.06,63,2.0,59.8,1.9,0,0.07,0.0,3,0,0.0,3,0.1,6,1.5,227.0,55.1,636.8,,,
808,577,Angelo Ogbonna,DEF,West Ham,a,4.2,19,0.1,,634,7,1.7,0,0.04,0.01,0.1,0.02,14,1.99,15.9,2.26,0,0.06,0.01,1,0,0.0,2,0.28,0,1.0,10.0,2.2,131.0,,,
809,642,Edson Álvarez Velázquez,MID,West Ham,a,5.0,62,0.2,,2375,28,2.0,1,1.37,0.05,2.18,0.08,45,1.71,49.85,1.89,1,0.81,0.03,11,0,0.0,5,0.19,3,0.0,89.0,193.1,545.8,,,
810,647,Joseph Anang,GKP,West Ham,a,4.0,0,0.1,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
811,664,James Ward-Prowse,MID,West Ham,a,5.7,146,5.3,,3000,34,3.9,7,6.23,0.19,12.53,0.38,65,1.95,63.29,1.9,7,6.3,0.19,4,0,0.0,5,0.15,19,5.0,324.0,1023.5,831.0,1.0,1.0,1.0
812,676,Konstantinos Mavropanos,DEF,West Ham,a,4.5,40,0.1,,1500,16,2.1,1,1.19,0.07,1.28,0.08,27,1.62,29.36,1.76,0,0.09,0.01,2,0,0.0,3,0.18,3,0.5,112.0,41.9,300.2,,,
813,689,Mohammed Kudus,MID,West Ham,a,6.7,137,3.0,,2485,27,4.2,8,5.06,0.18,8.54,0.31,61,2.21,49.5,1.79,9,3.48,0.13,6,0,0.0,3,0.11,13,6.0,566.0,472.9,667.2,,,
814,773,Lewis Orford,MID,West Ham,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
815,774,Kaelan Casey,DEF,West Ham,a,4.0,1,0.0,,1,0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.5,0.0,0.0,2.0,,,
816,784,Oliver Scarles,DEF,West Ham,a,4.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
818,829,George Earthy,MID,West Ham,a,4.5,8,0.0,,33,0,2.7,1,0.35,0.95,0.35,0.95,0,0.0,0.16,0.44,0,0.0,0.0,0,0,0.0,0,0.0,0,3.5,33.0,2.0,32.8,,,
819,351,Tommy Doyle,MID,Wolves,a,4.4,38,0.1,,1209,11,1.5,0,0.42,0.03,1.29,0.09,24,1.79,22.22,1.65,0,0.87,0.06,2,0,0.0,3,0.22,0,1.0,55.0,173.7,198.4,,4.0,2.0
820,545,Rayan Aït-Nouri,DEF,Wolves,a,4.6,77,3.9,,2327,29,2.3,2,3.12,0.12,4.93,0.19,43,1.66,45.79,1.77,3,1.81,0.07,7,0,0.0,3,0.12,6,1.0,253.0,376.9,448.4,,,
821,546,Daniel Bentley,GKP,Wolves,a,3.9,18,0.8,,382,3,3.6,0,0.0,0.0,0.0,0.0,7,1.65,7.79,1.84,0,0.0,0.0,0,8,1.88,2,0.47,1,0.5,0.0,0.0,70.8,,,
823,548,Hugo Bueno López,DEF,Wolves,a,4.4,29,0.1,,727,7,1.3,0,0.31,0.04,0.99,0.12,16,1.98,12.99,1.61,0,0.68,0.08,1,0,0.0,2,0.25,0,0.5,30.0,122.1,139.4,,,
826,551,Craig Dawson,DEF,Wolves,i,4.5,69,0.4,Groin Injury - Expected back 01 Jun,2209,25,2.8,1,1.58,0.06,2.0,0.08,38,1.55,38.47,1.57,1,0.42,0.02,7,0,0.0,6,0.24,6,0.0,222.0,108.6,611.8,,,
831,557,Hwang Hee-chan,MID,Wolves,a,5.4,125,1.8,,2116,25,4.3,12,7.53,0.32,10.37,0.44,37,1.57,38.86,1.65,3,2.84,0.12,6,0,0.0,3,0.13,10,2.0,614.0,259.9,534.2,1.0,,
832,559,João Victor Gomes da Silva,MID,Wolves,a,4.9,75,0.1,,2646,32,2.2,2,1.82,0.06,3.58,0.12,51,1.73,53.05,1.8,2,1.76,0.06,11,0,0.0,4,0.14,3,2.0,196.0,372.3,493.2,,,
834,561,Bruno Cavaco Jordão,MID,Wolves,a,4.3,0,0.2,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
836,563,Max Kilman,DEF,Wolves,a,4.4,82,1.7,,3420,38,2.2,2,1.78,0.05,2.9,0.08,65,1.71,67.17,1.77,0,1.12,0.03,7,0,0.0,5,0.13,3,1.0,212.0,233.1,853.6,,,
837,564,Tom King,GKP,Wolves,a,3.9,0,0.6,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
838,565,Mario Lemina,MID,Wolves,a,4.9,95,0.1,,2969,34,2.7,4,4.6,0.14,5.86,0.18,55,1.67,60.17,1.82,1,1.26,0.04,10,0,0.0,4,0.12,13,2.0,470.0,333.6,621.6,,,
839,567,Pedro Lomba Neto,MID,Wolves,a,5.5,86,1.3,,1516,18,4.3,2,3.17,0.19,6.86,0.41,27,1.6,29.09,1.73,11,3.69,0.22,4,0,0.0,3,0.18,8,0.5,389.0,599.2,371.4,,3.0,1.0
841,569,José Malheiro de Sá,GKP,Wolves,a,5.0,107,2.0,,3037,35,3.1,0,0.0,0.0,0.0,0.0,58,1.72,59.38,1.76,1,0.0,0.0,1,134,3.97,4,0.12,8,2.0,0.0,11.0,1003.4,,,
842,570,Pablo Sarabia,MID,Wolves,d,4.5,99,0.5,Knock - 75% chance of playing,1737,20,3.3,4,5.52,0.29,10.52,0.55,27,1.4,30.95,1.6,7,5.0,0.26,5,0,0.0,6,0.31,8,0.0,418.0,795.3,469.2,3.0,2.0,1.0
844,572,Nélson Cabral Semedo,DEF,Wolves,s,4.5,63,0.6,Suspended until 07 Sep,3084,36,1.8,0,0.97,0.03,2.65,0.08,62,1.81,69.09,2.02,2,1.69,0.05,10,0,0.0,5,0.15,0,-1.0,165.0,395.7,508.8,,,
845,573,Toti António Gomes,DEF,Wolves,a,4.4,82,0.3,,2771,31,2.3,1,1.62,0.05,2.25,0.07,49,1.59,53.46,1.74,4,0.63,0.02,7,0,0.0,4,0.13,6,0.5,167.0,117.7,550.0,,,
846,574,Boubacar Traoré,MID,Wolves,a,4.3,25,0.3,,802,7,1.0,0,0.28,0.03,0.61,0.07,23,2.58,18.74,2.1,0,0.33,0.04,4,0,0.0,0,0.0,0,0.5,27.0,106.5,114.4,,,
847,590,Matheus Santos Carneiro Da Cunha,FWD,Wolves,a,5.5,135,2.4,,2438,29,4.2,12,9.49,0.35,12.46,0.46,46,1.7,48.51,1.79,7,2.97,0.11,9,0,0.0,6,0.22,15,3.5,872.0,409.8,786.0,2.0,,
848,598,Matt Doherty,DEF,Wolves,a,4.3,41,0.2,,1136,9,1.4,1,0.89,0.07,1.75,0.14,21,1.66,23.16,1.83,0,0.86,0.07,2,0,0.0,1,0.08,1,1.0,122.0,168.1,237.8,,,
849,697,Santiago Bueno,DEF,Wolves,a,4.5,13,0.0,,819,9,1.1,0,0.0,0.0,0.01,0.0,18,1.98,20.71,2.28,0,0.01,0.0,1,0,0.0,0,0.0,0,0.5,2.0,27.1,173.8,,,
850,698,Enso González,MID,Wolves,a,5.0,1,0.0,,1,0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.5,0.0,0.8,0.2,,,
851,704,Nathan Fraser,FWD,Wolves,a,4.5,7,0.1,,183,1,1.0,0,0.32,0.16,0.38,0.19,3,1.48,3.25,1.6,0,0.06,0.03,1,0,0.0,1,0.49,0,0.0,36.0,29.2,22.4,,,
852,715,Jean-Ricner Bellegarde,MID,Wolves,a,4.9,45,0.0,,948,10,2.0,2,1.35,0.13,2.11,0.2,24,2.28,26.15,2.48,2,0.76,0.07,0,0,0.0,0,0.0,1,1.5,163.0,170.1,189.8,,,
853,749,Matthew Whittingham,MID,Wolves,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
854,750,Tawanda Chirewa,MID,Wolves,a,4.4,8,0.0,,138,1,1.0,0,0.16,0.1,0.23,0.15,2,1.3,1.45,0.95,0,0.07,0.05,1,0,0.0,0,0.0,0,0.0,21.0,24.7,22.0,,,
855,751,Justin Hubner,DEF,Wolves,a,4.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
857,770,Ty Barnett,MID,Wolves,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
858,787,Harvey Griffiths,MID,Wolves,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
860,800,Noha Lemina,MID,Wolves,a,5.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
861,832,Wesley Okoduwa,DEF,Wolves,a,4.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
862,836,Leon Chiwome,FWD,Wolves,i,4.5,5,0.0,Ankle injury - Expected back 01 Jun,173,2,1.7,0,0.1,0.05,0.12,0.06,4,2.08,1.89,0.98,0,0.02,0.01,0,0,0.0,0,0.0,0,0.0,13.0,1.2,7.8,,,
863,840,Fletcher Holman,FWD,Wolves,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
864,853,Temple Ojinnaka,MID,Wolves,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
